uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q133161309,Carl O. Geving,1965,education,http://www.wikidata.org/entity/Q19384408,Q19384408,2,public school | upper secondary school in Norway,1961-1980
http://www.wikidata.org/entity/Q133190545,Thierry Launois,1971,education,http://www.wikidata.org/entity/Q1136829,INSEAD,1,business school,1961-1980
http://www.wikidata.org/entity/Q133190545,Thierry Launois,1971,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q133190545,Thierry Launois,1971,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q133225083,Jean-Marc Atlan,1966,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q133225083,Jean-Marc Atlan,1966,education,http://www.wikidata.org/entity/Q29293,ESCP Business School,3,private university | business school | educational institution,1961-1980
http://www.wikidata.org/entity/Q133225083,Jean-Marc Atlan,1966,education,http://www.wikidata.org/entity/Q3268594,Lycée Blaise-Pascal,1,lycée,1961-1980
http://www.wikidata.org/entity/Q133225083,Jean-Marc Atlan,1966,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q133260084,Benaree Pratt Wiley,1946,education,http://www.wikidata.org/entity/Q1068752,Howard University,3,private not-for-profit educational institution | historically black college or university | private university,1941-1960
http://www.wikidata.org/entity/Q133260084,Benaree Pratt Wiley,1946,education,http://www.wikidata.org/entity/Q13371,Harvard University,4,research university | private university | Colonial Colleges | private not-for-profit educational institution,1941-1960
http://www.wikidata.org/entity/Q133282144,Thomas Mayol,1998,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133282144,Thomas Mayol,1998,education,http://www.wikidata.org/entity/Q64995039,lycée Albert-Camus,2,educational facility | lycée,1981-2000
http://www.wikidata.org/entity/Q133282144,Thomas Mayol,1998,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133282144,Thomas Mayol,1998,education,http://www.wikidata.org/entity/Q776223,University of Montpellier,1,university in France,1981-2000
