,personUri,personLabel,birthYear,gender,countries,continents,occupations
128,http://www.wikidata.org/entity/Q47492949,Ruff Kid,1986,male,Zambia,Africa,"chief executive officer, singer"
129,http://www.wikidata.org/entity/Q7011407,Q7011407,1923,male,Israel,Asia,"industrialist, manager, chief executive officer"
130,http://www.wikidata.org/entity/Q124035147,Yury Klishin,1947,male,"Russia, Soviet Union","Europe, Asia","aircraft pilot, chief executive officer, military officer"
131,http://www.wikidata.org/entity/Q174087,Maurice Fischer,1903,male,Israel,Asia,"chief executive officer, diplomat"
132,http://www.wikidata.org/entity/Q7030983,Q7030983,1954,male,Israel,Asia,"chief executive officer, businessperson"
133,http://www.wikidata.org/entity/Q16855612,Peter Kropsch,1965,male,Austria,Europe,chief executive officer
134,http://www.wikidata.org/entity/Q11935287,Marcos Vizcaya Retana,1947,male,Spain,Europe,"chief executive officer, professor, politician, lawyer"
135,http://www.wikidata.org/entity/Q2493536,Stella Márquez,1937,female,Colombia,South America,chief executive officer
136,http://www.wikidata.org/entity/Q79079542,Hannes Laurila,1892,male,Finland,Europe,chief executive officer
137,http://www.wikidata.org/entity/Q105601802,Marc Llistosella,1967,male,Germany,Europe,chief executive officer
138,http://www.wikidata.org/entity/Q125750913,Aurélie Arruti,1981,female,France,Europe,"businessperson, chief executive officer, entrepreneur"
139,http://www.wikidata.org/entity/Q134393120,Eric Poston,1987,male,United States,North America,"lawyer, musician, chief executive officer"
140,http://www.wikidata.org/entity/Q107710906,Joseph Ayoub,1995,male,Canada,North America,chief executive officer
141,http://www.wikidata.org/entity/Q65610691,José Luis Perelli,1961,male,Spain,Europe,chief executive officer
142,http://www.wikidata.org/entity/Q33113980,Vincent Huguenin,1954,male,France,Europe,"chief executive officer, businessperson"
143,http://www.wikidata.org/entity/Q15983476,Masood Ul Mulk,1956,male,Pakistan,Asia,chief executive officer
144,http://www.wikidata.org/entity/Q99530856,Cristina Ruiz,1970,female,Spain,Europe,chief executive officer
145,http://www.wikidata.org/entity/Q5512287,G. Jason Bergenske,1985,male,United States,North America,"chief executive officer, entrepreneur"
146,http://www.wikidata.org/entity/Q2476231,Ulrich Körner,1962,male,"Switzerland, Germany",Europe,"chief executive officer, economist"
147,http://www.wikidata.org/entity/Q3108174,Giuseppe de Martino,1967,male,"Italy, France",Europe,"chief executive officer, entrepreneur"
148,http://www.wikidata.org/entity/Q132291711,Stefan Träger,1967,male,Germany,Europe,chief executive officer
149,http://www.wikidata.org/entity/Q131312026,Richard Gordon Handover,1946,male,United Kingdom,Europe,chief executive officer
150,http://www.wikidata.org/entity/Q5292524,Don Dinero,1969,male,"United States, Cuba",North America,chief executive officer
151,http://www.wikidata.org/entity/Q3265837,Lucinda Creighton,1980,female,Ireland,Europe,"chief executive officer, politician"
152,http://www.wikidata.org/entity/Q4970379,Phebe Novakovic,1957,female,United States,North America,"chief executive officer, chairperson"
153,http://www.wikidata.org/entity/Q6847486,Mike Kelly,1942,male,United States,North America,"aircraft pilot, chief executive officer, politician, businessperson"
154,http://www.wikidata.org/entity/Q4901109,Bharat Desai,1953,male,India,Asia,"chief executive officer, businessperson"
155,http://www.wikidata.org/entity/Q114796068,Knud Hannover,1901,male,Kingdom of Denmark,Europe,chief executive officer
156,http://www.wikidata.org/entity/Q112896622,Mahmud Ardi Widanto,1984,male,Indonesia,Asia,"director, chief executive officer, politician"
157,http://www.wikidata.org/entity/Q33110507,Michaël Bertini,1979,male,France,Europe,"chief executive officer, entrepreneur, businessperson"
158,http://www.wikidata.org/entity/Q18206073,Jayne-Anne Gadhia,1961,female,United Kingdom,Europe,chief executive officer
159,http://www.wikidata.org/entity/Q18719384,Charlie Ebersol,1982,male,United States,North America,chief executive officer
160,http://www.wikidata.org/entity/Q1276156,Koo Bon-moo,1945,male,South Korea,Asia,"chief executive officer, businessperson"
161,http://www.wikidata.org/entity/Q25385523,Dominique Ferrero,1947,male,France,Europe,chief executive officer
162,http://www.wikidata.org/entity/Q123975107,Esteri Perkko,1891,female,Finland,Europe,chief executive officer
163,http://www.wikidata.org/entity/Q72219390,Luc Van den hove,1960,male,Belgium,Europe,"business executive, chief executive officer"
