uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q35670254,Peter Buhl Jensen,1955,education,http://www.wikidata.org/entity/Q186285,University of Copenhagen,2,organization | public research university,1941-1970,"['organization', 'public research university']"
http://www.wikidata.org/entity/Q3570788,Xavier Rolet,1959,education,http://www.wikidata.org/entity/Q16647785,KEDGE Business School,2,business school | grande école,1941-1970,"['business school', 'grande école']"
http://www.wikidata.org/entity/Q3570788,Xavier Rolet,1959,education,http://www.wikidata.org/entity/Q907481,Columbia Business School,2,business school | publishing company,1941-1970,"['business school', 'publishing company']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,membership,http://www.wikidata.org/entity/Q16955,Tsinghua University,4,higher education institution directly under ministry of education of the people’s republic of china | public university | university | vice-ministerial level university,1971-2000,"['higher education institution directly under ministry of education of the people’s republic of china', 'public university', 'university', 'vice-ministerial level university']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q1426464,Phillips Exeter Academy,5,boarding school | first school | primary school | private school | university-preparatory school,1971-2000,"['boarding school', 'first school', 'primary school', 'private school', 'university-preparatory school']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q4115972,New York Medical College,2,medical school | private not-for-profit educational institution,1971-2000,"['medical school', 'private not-for-profit educational institution']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q4788298,Ardsley High School,1,high school,1971-2000,['high school']
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q13371,Harvard University,4,colonial colleges | private not-for-profit educational institution | private university | research university,1971-2000,"['colonial colleges', 'private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q5059890,Johns Hopkins Center for Talented Youth,2,education program | organization,1971-2000,"['education program', 'organization']"
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,1984,education,http://www.wikidata.org/entity/Q16951582,Mercy University,2,private not-for-profit educational institution | university,1971-2000,"['private not-for-profit educational institution', 'university']"
