p,propLabel,eff
http://www.wikidata.org/prop/direct/P4285,identifiant theses.fr,4
http://www.wikidata.org/prop/direct/P10199,identifiant F6S,4
http://www.wikidata.org/prop/direct/P10306,identifiant North Data,4
http://www.wikidata.org/prop/direct/P11152,identifiant web Léonore,4
http://www.wikidata.org/prop/direct/P11245,indicateur YouTube,4
http://www.wikidata.org/prop/direct/P140,religion ou conception du monde,3
http://www.wikidata.org/prop/direct/P172,groupe ethnique,3
http://www.wikidata.org/prop/direct/P349,identifiant Bibliothèque nationale de la Diète,3
http://www.wikidata.org/prop/direct/P241,corps militaire,3
http://www.wikidata.org/prop/direct/P396,identifiant SBN d'un auteur,3
http://www.wikidata.org/prop/direct/P434,identifiant MusicBrainz d'un artiste,3
http://www.wikidata.org/prop/direct/P496,identifiant ORCID,3
http://www.wikidata.org/prop/direct/P1015,identifiant BIBSYS d'une personne,3
http://www.wikidata.org/prop/direct/P1026,thèse académique,3
http://www.wikidata.org/prop/direct/P1066,élève de,3
http://www.wikidata.org/prop/direct/P1248,identifiant KulturNav,3
http://www.wikidata.org/prop/direct/P1830,propriétaire de,3
http://www.wikidata.org/prop/direct/P2038,identifiant ResearchGate d'un auteur enregistré,3
http://www.wikidata.org/prop/direct/P2037,identifiant GitHub,3
http://www.wikidata.org/prop/direct/P2650,intéressé(e) par,3
http://www.wikidata.org/prop/direct/P3537,identifiant FootballDatabase.eu,3
http://www.wikidata.org/prop/direct/P3814,identifiant The Business of Fashion,3
http://www.wikidata.org/prop/direct/P4789,identifiant Who's Who UK,3
http://www.wikidata.org/prop/direct/P6023,identifiant ResearchGate d'un auteur non enregistré,3
http://www.wikidata.org/prop/direct/P6231,identifiant Base de données des élites suisses,3
http://www.wikidata.org/prop/direct/P6366,identifiant Microsoft Academic,3
http://www.wikidata.org/prop/direct/P7176,identifiant d'un profil XING,3
http://www.wikidata.org/prop/direct/P7682,identifiant Bibliothèque nationale de Nouvelle-Zélande,3
http://www.wikidata.org/prop/direct/P7763,statut des droits d'auteur du créateur,3
http://www.wikidata.org/prop/direct/P7847,identifiant DigitaltMuseum,3
http://www.wikidata.org/prop/direct/P8286,identifiant Olympedia d'une personne,3
http://www.wikidata.org/prop/direct/P8445,identifiant Our Campaigns d'un candidat,3
http://www.wikidata.org/prop/direct/P11249,identifiant d’autorité Bibliothèque royale de Belgique,3
http://www.wikidata.org/prop/direct/P12098,identifiant Kinobox.cz d'une personne,3
http://www.wikidata.org/prop/direct/P12192,P12192,3
http://www.wikidata.org/prop/direct/P53,"famille, dynastie ou maison noble",2
http://www.wikidata.org/prop/direct/P112,fondé par,2
http://www.wikidata.org/prop/direct/P185,doctorant ou doctorante,2
http://www.wikidata.org/prop/direct/P413,position de jeu ou spécialité,2
http://www.wikidata.org/prop/direct/P409,identifiant Bibliothèque nationale d'Australie,2
http://www.wikidata.org/prop/direct/P968,courriel,2
http://www.wikidata.org/prop/direct/P1005,identifiant Bibliothèque nationale du Portugal,2
http://www.wikidata.org/prop/direct/P1045,identifiant Sycomore,2
http://www.wikidata.org/prop/direct/P1050,affection médicale,2
http://www.wikidata.org/prop/direct/P1153,identifiant Scopus d'un auteur,2
http://www.wikidata.org/prop/direct/P1196,circonstances de la mort,2
http://www.wikidata.org/prop/direct/P1260,identifiant K-samsök,2
http://www.wikidata.org/prop/direct/P1258,identifiant Rotten Tomatoes,2
http://www.wikidata.org/prop/direct/P1280,identifiant CONOR.SI,2
